City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
8,Kavieng,PG,83.77,clear sky,-2.5744,150.7967,Nusa Island Retreat
10,Atuona,PF,79.11,scattered clouds,-9.8,-139.0333,Villa Enata
12,Sur,OM,87.78,clear sky,22.5667,59.5289,Sur Plaza Hotel
13,Rikitea,PF,76.33,overcast clouds,-23.1203,-134.9692,People ThankYou
17,Damghan,IR,78.66,clear sky,36.1683,54.348,خوابگاه اساتيد دانشگاه دامغان
18,Bambous Virieux,MU,74.21,light rain,-20.3428,57.7575,Casa Tia Villa
19,Mahebourg,MU,74.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
31,Faanui,PF,80.29,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
32,Dhidhdhoo,MV,81.82,overcast clouds,6.8833,73.1,Dhidhoo beach
33,Awbari,LY,79.32,clear sky,26.5921,12.7805,فندق أوباري
34,Takoradi,GH,79.23,overcast clouds,4.8845,-1.7554,Raybow International Hotel
36,Alyangula,AU,75.27,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
43,Tahe,CN,70.41,broken clouds,52.3333,124.7333,塔河宾馆
49,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
51,Harper,LR,78.93,overcast clouds,4.375,-7.7169,Screensaver
53,Kapaa,US,80.92,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
54,Buala,SB,83.55,few clouds,-8.145,159.5921,Maringe Lagoon Lodge
58,Isangel,VU,78.6,scattered clouds,-19.55,169.2667,Tanna Lodge
60,Hithadhoo,MV,81.43,few clouds,-0.6,73.0833,Scoop Guest House
63,Bougouni,ML,81.05,light rain,11.417,-7.479,Non Stop
64,Gushikawa,JP,83.79,few clouds,26.3544,127.8686,Kirari Guest House
65,Coari,BR,76.75,broken clouds,-4.085,-63.1414,HOTEL ALEX FLAT
67,Nautla,MX,80.49,overcast clouds,20.2167,-96.7833,Casa Blanca
71,Auki,SB,83.35,scattered clouds,-8.7676,160.7034,Auki Motel
72,Cayenne,GF,79.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
