City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mataura,NZ,-46.1927,168.8643,49.57,99,100,2.21,moderate rain
1,Cherskiy,RU,68.75,161.3,55.98,39,2,5.01,clear sky
2,Castro,BR,-24.7911,-50.0119,49.15,78,0,2.42,clear sky
3,Beloha,MG,-25.1667,45.05,66.36,74,0,4.88,clear sky
4,Saskylakh,RU,71.9167,114.0833,50.81,54,98,8.01,overcast clouds
5,Price,US,39.5994,-110.8107,91.11,6,1,3.44,clear sky
6,Yulara,AU,-25.2406,130.9889,58.84,33,75,10.36,broken clouds
7,Jiuquan,CN,39.7432,98.5174,65.77,48,74,3.36,broken clouds
8,Kavieng,PG,-2.5744,150.7967,83.77,69,2,10.42,clear sky
9,Klaksvik,FO,62.2266,-6.589,45.52,73,100,5.88,overcast clouds
10,Atuona,PF,-9.8,-139.0333,79.11,76,48,17.05,scattered clouds
11,Punta Arenas,CL,-53.15,-70.9167,39.11,87,20,11.5,few clouds
12,Sur,OM,22.5667,59.5289,87.78,62,0,7.94,clear sky
13,Rikitea,PF,-23.1203,-134.9692,76.33,74,99,10.69,overcast clouds
14,Avera,US,33.194,-82.5271,80.74,64,63,2.73,broken clouds
15,Rocha,UY,-34.4833,-54.3333,54.66,90,6,6.42,clear sky
16,Calama,CL,-22.4667,-68.9333,52.93,14,0,3.11,clear sky
17,Damghan,IR,36.1683,54.348,78.66,37,0,3.6,clear sky
18,Bambous Virieux,MU,-20.3428,57.7575,74.21,77,35,17.0,light rain
19,Mahebourg,MU,-20.4081,57.7,74.25,77,28,17.11,scattered clouds
20,Luderitz,NA,-26.6481,15.1594,58.19,82,69,1.34,broken clouds
21,Busselton,AU,-33.65,115.3333,50.04,75,94,7.87,overcast clouds
22,Dzhebariki-Khaya,RU,62.2167,135.8,64.49,59,95,3.56,overcast clouds
23,Neuquen,AR,-38.9516,-68.0591,64.29,55,0,0.0,clear sky
24,Brae,GB,60.3964,-1.353,49.91,85,91,13.38,overcast clouds
25,Port Elizabeth,ZA,-33.918,25.5701,59.29,100,90,2.3,mist
26,Isla Vista,US,34.4133,-119.861,97.07,42,1,8.05,clear sky
27,Arraial Do Cabo,BR,-22.9661,-42.0278,69.75,66,11,13.78,few clouds
28,Barrow,US,71.2906,-156.7887,33.82,86,90,8.05,overcast clouds
29,Hobart,AU,-42.8794,147.3294,56.01,92,75,10.36,broken clouds
30,Orissaare,EE,58.5592,23.0826,59.07,93,100,6.17,overcast clouds
31,Faanui,PF,-16.4833,-151.75,80.29,77,37,15.21,scattered clouds
32,Dhidhdhoo,MV,6.8833,73.1,81.82,77,98,15.99,overcast clouds
33,Awbari,LY,26.5921,12.7805,79.32,25,0,3.69,clear sky
34,Takoradi,GH,4.8845,-1.7554,79.23,86,85,8.14,overcast clouds
35,Ponta Do Sol,PT,32.6667,-17.1,68.63,68,3,6.33,clear sky
36,Alyangula,AU,-13.8483,136.4192,75.27,77,63,8.1,broken clouds
37,Albany,US,42.6001,-73.9662,76.64,55,56,2.19,broken clouds
38,Vestmannaeyjar,IS,63.4427,-20.2734,44.51,86,100,30.47,overcast clouds
39,Torbay,CA,47.6666,-52.7314,51.28,100,45,12.12,scattered clouds
40,Northam,GB,51.0333,-4.2167,58.39,91,8,3.36,clear sky
41,Ushuaia,AR,-54.8,-68.3,38.86,87,75,26.46,broken clouds
42,East London,ZA,-33.0153,27.9116,65.34,54,95,3.44,overcast clouds
43,Tahe,CN,52.3333,124.7333,70.41,53,64,2.86,broken clouds
44,Cidreira,BR,-30.1811,-50.2056,56.21,73,1,8.21,clear sky
45,Birobidzhan,RU,48.8,132.95,62.28,85,52,5.68,broken clouds
46,Ballina,AU,-28.8667,153.5667,58.78,69,1,7.56,clear sky
47,Khatanga,RU,71.9667,102.5,35.4,98,99,9.98,light rain
48,Deputatskiy,RU,69.3,139.9,53.55,56,100,1.97,light rain
49,Vaini,TO,-21.2,-175.2,77.16,65,20,12.66,few clouds
50,Mecca,SA,21.4267,39.8261,90.55,37,8,1.66,clear sky
51,Harper,LR,4.375,-7.7169,78.93,85,100,8.48,overcast clouds
52,Qaanaaq,GL,77.484,-69.3632,35.2,84,96,3.38,overcast clouds
53,Kapaa,US,22.0752,-159.319,80.92,70,75,4.0,broken clouds
54,Buala,SB,-8.145,159.5921,83.55,70,18,4.72,few clouds
55,Lata,PT,40.1629,-8.3327,67.05,93,93,5.17,overcast clouds
56,Upernavik,GL,72.7868,-56.1549,36.03,87,95,4.9,overcast clouds
57,Hailey,US,43.5196,-114.3153,57.04,32,6,7.0,clear sky
58,Isangel,VU,-19.55,169.2667,78.6,70,33,8.99,scattered clouds
59,Khor,RU,47.8861,134.9464,62.49,87,34,8.97,scattered clouds
60,Hithadhoo,MV,-0.6,73.0833,81.43,75,21,7.65,few clouds
61,Peleduy,RU,59.6289,112.7406,56.7,45,0,2.46,clear sky
62,Pisco,PE,-13.7,-76.2167,64.45,77,90,12.66,overcast clouds
63,Bougouni,ML,11.417,-7.479,81.05,66,45,5.57,light rain
64,Gushikawa,JP,26.3544,127.8686,83.79,89,20,10.36,few clouds
65,Coari,BR,-4.085,-63.1414,76.75,87,73,2.17,broken clouds
66,Narsaq,GL,60.9167,-46.05,50.22,78,70,6.49,broken clouds
67,Nautla,MX,20.2167,-96.7833,80.49,76,100,9.1,overcast clouds
68,Hermanus,ZA,-34.4187,19.2345,56.89,77,20,5.99,few clouds
69,Bluff,NZ,-46.6,168.3333,51.46,98,100,6.91,light rain
70,Cabo San Lucas,MX,22.8909,-109.9124,96.51,61,3,9.66,clear sky
71,Auki,SB,-8.7676,160.7034,83.35,69,38,2.89,scattered clouds
72,Cayenne,GF,4.9333,-52.3333,79.09,86,0,0.0,clear sky
73,Vostok,RU,46.4856,135.8833,63.72,86,12,2.84,few clouds
74,Hauge,NO,58.3436,6.2812,51.96,78,59,19.91,broken clouds
75,Rehoboth,NA,-23.3167,17.0833,56.16,29,69,5.32,broken clouds
76,Trat,TH,12.5,102.5,74.3,96,100,2.46,heavy intensity rain
77,Chimbote,PE,-9.0853,-78.5783,66.52,83,10,9.28,clear sky
78,Dikson,RU,73.5069,80.5464,30.09,97,70,10.31,broken clouds
79,Norman Wells,CA,65.282,-126.8329,50.18,96,100,8.84,moderate rain
80,Makat,KZ,47.6469,53.3463,77.2,43,78,8.43,broken clouds
81,Saint-Francois,FR,46.4154,3.9054,64.67,85,0,1.14,clear sky
82,New Norfolk,AU,-42.7826,147.0587,55.65,82,93,1.88,overcast clouds
83,Kodiak,US,57.79,-152.4072,51.48,73,92,1.66,overcast clouds
84,Tuktoyaktuk,CA,69.4541,-133.0374,39.92,81,100,14.85,overcast clouds
85,Souillac,MU,-20.5167,57.5167,74.35,79,10,15.37,clear sky
86,Puerto Ayora,EC,-0.7393,-90.3518,74.55,87,70,5.99,broken clouds
87,Warwick,US,41.7001,-71.4162,72.48,80,96,7.56,overcast clouds
88,Puno,PE,-15.8333,-70.0333,42.44,55,1,6.04,clear sky
89,Abu Kamal,SY,34.4506,40.9171,78.98,25,0,11.3,clear sky
90,Ginda,IN,30.6945,78.4932,61.74,82,20,4.79,few clouds
91,Port Alfred,ZA,-33.5906,26.891,64.49,65,100,2.39,overcast clouds
92,Esperance,AU,-33.8667,121.9,58.64,71,87,6.55,overcast clouds
93,Hanmer Springs,NZ,-42.5167,172.8167,54.81,79,100,6.08,overcast clouds
94,Bagdarin,RU,54.4333,113.6,53.31,75,100,2.98,light rain
95,Provideniya,RU,64.3833,-173.3,39.2,96,100,13.11,overcast clouds
96,Banda Aceh,ID,5.5577,95.3222,79.75,79,95,11.01,overcast clouds
97,Haines Junction,CA,60.7522,-137.5108,70.93,23,96,6.49,overcast clouds
98,Sobolevo,RU,54.4299,31.8996,54.19,94,8,7.23,clear sky
99,Bhanpuri,IN,21.1,80.9167,78.49,79,100,8.95,overcast clouds
100,Cockburn Town,TC,21.4612,-71.1419,80.8,82,35,15.59,scattered clouds
101,Alta Floresta,BR,-9.8756,-56.0861,76.24,66,54,4.38,broken clouds
102,Henties Bay,NA,-22.116,14.2845,56.86,86,96,8.01,overcast clouds
103,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,73.76,97,98,1.81,moderate rain
104,San-Pedro,CI,4.7485,-6.6363,77.88,87,62,6.69,broken clouds
105,Avarua,CK,-21.2078,-159.775,75.25,64,75,14.97,broken clouds
106,Tortoli,IT,39.9256,9.6572,67.98,76,30,3.15,scattered clouds
107,Jamestown,US,42.097,-79.2353,79.92,64,1,3.0,clear sky
108,Galeana,MX,24.8333,-100.0667,73.89,47,100,10.11,overcast clouds
109,Mildura,AU,-34.2,142.15,51.76,93,75,5.75,broken clouds
